,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Jurassic Park (1993),Braveheart (1995),Terminator 2: Judgment Day (1991),Schindler's List (1993),Fight Club (1999),Toy Story (1995),Star Wars: Episode V - The Empire Strikes Back (1980),"Usual Suspects, The (1995)",American Beauty (1999),Seven (a.k.a. Se7en) (1995),Independence Day (a.k.a. ID4) (1996),Apollo 13 (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Star Wars: Episode VI - Return of the Jedi (1983),"Godfather, The (1972)","Fugitive, The (1993)",Batman (1989),Saving Private Ryan (1998),"Lord of the Rings: The Two Towers, The (2002)","Lord of the Rings: The Return of the King, The (2003)",Aladdin (1992),Fargo (1996),"Sixth Sense, The (1999)"
413,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0
589,5.0,4.5,4.5,3.5,4.0,5.0,4.0,4.0,4.5,5.0,3.5,4.0,5.0,4.5,3.0,3.0,4.0,4.5,5.0,4.5,4.5,5.0,4.0,3.5,4.0,5.0,4.5,4.0,4.0,3.5
473,3.0,5.0,4.0,4.5,4.5,4.0,4.5,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.5,4.0,4.0,4.5,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0
479,5.0,5.0,4.0,4.5,5.0,4.5,5.0,5.0,4.5,5.0,4.5,3.0,5.0,3.5,4.0,4.5,3.0,3.5,5.0,3.5,3.5,5.0,3.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0
67,3.5,3.0,2.0,3.5,4.5,5.0,3.5,2.5,3.5,4.0,2.5,2.5,5.0,3.0,5.0,4.0,4.0,3.0,5.0,4.5,5.0,4.0,4.5,4.0,4.0,4.0,4.5,3.5,2.5,2.5
482,5.0,5.0,5.0,,4.5,4.5,4.0,4.0,4.0,5.0,4.5,4.0,4.5,4.5,4.0,3.5,3.0,2.0,4.0,4.5,4.5,4.0,2.5,3.5,4.0,4.5,4.0,4.0,4.0,3.5
248,4.5,4.5,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.5,5.0,4.0,5.0,4.0,4.5,5.0,4.0,2.5,5.0,5.0,4.5,4.5,4.5,,4.5,4.5,5.0,4.0,4.5,4.0
579,4.0,5.0,5.0,4.5,5.0,4.0,4.0,4.5,4.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,,4.5,4.5,4.0,4.5,3.0,3.0,5.0,4.5,4.0,2.0,4.0,4.5
273,4.5,4.5,5.0,4.0,4.0,3.0,3.5,4.5,4.5,4.0,5.0,4.0,4.5,4.0,5.0,4.0,3.5,,4.0,3.0,4.0,3.5,3.5,3.0,4.0,3.5,3.0,4.0,3.0,4.0
306,4.0,4.5,4.5,4.5,3.5,3.5,3.5,3.5,2.5,4.5,4.0,4.0,3.0,4.5,4.0,4.0,2.0,2.0,4.0,3.0,3.0,4.5,3.0,4.0,,3.0,3.0,4.0,3.0,2.5
329,5.0,4.5,4.0,5.0,3.5,4.0,2.0,3.5,3.5,,4.0,4.0,5.0,5.0,4.5,3.0,2.5,3.0,3.5,3.5,5.0,4.0,2.5,4.0,3.5,4.0,4.0,3.0,4.0,4.0
181,5.0,4.5,5.0,4.5,5.0,3.5,3.5,3.5,2.0,4.0,5.0,4.0,3.0,4.5,5.0,4.0,1.5,2.5,3.5,3.0,2.5,4.5,3.5,3.5,3.0,3.0,1.0,,5.0,4.0
598,3.5,4.0,5.0,3.0,5.0,5.0,4.0,3.5,4.5,,5.0,3.0,5.0,3.5,5.0,4.0,3.5,2.5,3.5,4.0,5.0,4.0,3.0,3.5,3.5,3.0,3.0,3.0,3.5,3.5
424,5.0,5.0,4.0,4.0,3.5,3.0,3.5,4.0,3.5,4.0,4.5,,3.0,4.5,3.0,4.5,3.5,3.0,4.0,4.5,3.0,3.5,3.5,3.5,4.0,4.5,4.0,3.0,2.5,3.5
607,3.0,4.5,5.0,4.0,5.0,3.5,3.0,4.0,3.0,4.0,5.0,2.5,4.0,4.5,5.0,4.5,3.0,2.0,,4.5,4.0,5.0,3.0,3.0,4.5,4.5,4.0,3.0,3.0,4.5
599,4.0,3.5,4.5,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.5,2.5,4.0,,4.5,4.0,2.0,2.0,4.0,5.0,4.5,4.0,3.0,2.5,,5.0,5.0,3.5,4.0,3.5
90,3.0,2.0,4.5,4.5,5.0,4.5,4.5,4.0,4.0,,4.5,4.0,4.5,4.5,,4.5,3.5,3.5,5.0,4.5,4.0,5.0,4.0,5.0,4.5,4.0,4.5,3.5,3.5,4.0
159,3.0,,5.0,2.0,4.0,5.0,2.0,4.0,5.0,5.0,4.5,4.0,4.0,4.0,5.0,5.0,1.0,5.0,3.0,2.0,5.0,5.0,2.0,4.0,5.0,1.5,5.0,,5.0,5.0
